,abbr_name,team,full_name
270,R. Kurucs,BRK,Rodions Kurucs
271,R. Kurucs,HOU,Rodions Kurucs
272,K. Kuzma,LAL,Kyle Kuzma
273,J. Lamb,IND,Jeremy Lamb
274,Z. LaVine,CHI,Zach LaVine
275,J. Layman,MIN,Jake Layman
276,J. Lecque,IND,Jalen Lecque
277,D. Lee,GSW,Damion Lee
279,S. Lee,DET,Saben Lee
280,A. Len,TOT,Alex Len
281,A. Len,TOR,Alex Len
282,A. Len,WAS,Alex Len
283,K. Leonard,LAC,Kawhi Leonard
284,M. Leonard,MIA,Meyers Leonard
285,C. LeVert,BRK,Caris LeVert
286,K. Lewis,NOP,Kira Lewis Jr.
287,D. Lillard,POR,Damian Lillard
288,N. Little,POR,Nassir Little
289,K. Looney,GSW,Kevon Looney
290,B. Lopez,MIL,Brook Lopez
291,R. Lopez,WAS,Robin Lopez
292,K. Love,CLE,Kevin Love
293,K. Lowry,TOR,Kyle Lowry
294,T. Luwawu-Cabarrot,BRK,Timothe Luwawu-Cabarrot
295,T. Lyles,SAS,Trey Lyles
296,T. Maker,CLE,Thon Maker
297,T. Maledon,OKC,Theo Maledon
298,K. Mane,ORL,Karim Mane
299,T. Mann,LAC,Terance Mann
300,N. Mannion,GSW,Nico Mannion
302,B. Marjanovic,DAL,Boban Marjanovic
303,L. Markkanen,CHI,Lauri Markkanen
304,N. Marshall,NOP,Naji Marshall
305,C. Martin,CHO,Caleb Martin
306,C. Martin,CHO,Cody Martin
307,K. Martin,IND,Kelan Martin
308,K. Martin,HOU,Kenyon Martin Jr.
309,F. Mason,ORL,Frank Mason III
310,G. Mathews,WAS,Garrison Mathews
311,D. Mathias,PHI,Dakota Mathias
312,W. Matthews,LAL,Wesley Matthews
313,T. Maxey,PHI,Tyrese Maxey
314,S. Mays,ATL,Skylar Mays
315,P. McCaw,TOR,Patrick McCaw
316,C. McCollum,POR,CJ McCollum
317,T. McConnell,IND,T.J. McConnell
318,J. McDaniels,MIN,Jaden McDaniels
319,J. McDaniels,CHO,Jalen McDaniels
320,D. McDermott,IND,Doug McDermott
321,S. McDermott,MEM,Sean McDermott
323,J. McGee,CLE,JaVale McGee
324,R. McGruder,DET,Rodney McGruder
325,A. McKinnie,LAL,Alfonzo McKinnie
326,J. McLaughlin,MIN,Jordan McLaughlin
327,B. McLemore,HOU,Ben McLemore
328,N. Melli,NOP,Nicolo Melli
329,D. Melton,MEM,De'Anthony Melton
330,S. Merrill,MIL,Sam Merrill
331,C. Metu,SAC,Chimezie Metu
332,K. Middleton,MIL,Khris Middleton
333,D. Miller,OKC,Darius Miller
334,P. Mills,SAS,Patty Mills
335,P. Millsap,DEN,Paul Millsap
336,S. Milton,PHI,Shake Milton
337,D. Mitchell,UTA,Donovan Mitchell
338,A. Mokoka,CHI,Adam Mokoka
339,M. Monk,CHO,Malik Monk
340,E. Moore,PHO,E'Twaun Moore
341,J. Morant,MEM,Ja Morant
342,J. Morgan,UTA,Juwan Morgan
344,M. Morris,LAC,Marcus Morris
345,M. Morris,LAL,Markieff Morris
346,M. Morris,DEN,Monte Morris
347,M. Mulder,GSW,Mychal Mulder
348,D. Murray,SAS,Dejounte Murray
349,J. Murray,DEN,Jamal Murray
350,M. Muscala,OKC,Mike Muscala
351,S. Mykhailiuk,DET,Sviatoslav Mykhailiuk
352,A. Nader,PHO,Abdel Nader
353,L. Nance,CLE,Larry Nance Jr.
354,A. Nesmith,BOS,Aaron Nesmith
355,R. Neto,WAS,Raul Neto
356,G. Niang,UTA,Georges Niang
357,Z. Nnaji,DEN,Zeke Nnaji
